accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists_per90,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists_per90,expectedGoals_per90,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals_per90,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,Team,player id,team id,position,weight,height,dob,preferred_foot,country,contract_until,name_key,Name,market_value_eur,league,season,minutesPlayed_total,appearances_total,goals_overperformance_per90,assists_overperformance_per90
8.12,0.0,0.0,31.22,7.38,80.6,65.0,37.89,102.9,92.46,1.68,70.51,0.7,1.04,0.28,0.0,0.0,0.0,7.2,0.25,0.06,0.49,0.34,1.23,1.04,0.0,0.03,0.98,0.95,4.26,0.03,0.09,0.19,0.12,1.26,0.0,12.9,0.0,0.25,0.52,0.8,0.74,0.06,0.12,0.12,,4.47,55.73,0.0,0.0,0.0,8.39,0.8,1.53,0.09,1.04,0.18,0.25,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,11.06,1.01,0.0,8.01,0.03,0.15,0.0,0.0,0.0,0.0,0.0,0.0,367.25,0.0,0.0,0.77,1.13,0.74,0.67,1.29,75.0,0.0,2.14,1.32,61.43,1.5,10.42,1.72,0.37,6.16,59.12,9.16,71.74,39.91,111.29,8.34,1.9,0.4,126.09,1.07,0.25,0.0,Manchester City,827606,17,M,78.0,191.0,1996-06-22 00:00:00+00:00,Right,Spain,2027-06-30 00:00:00+00:00,rodri,Rodri,2000000.0,England Premier League,23/24,2938,34,0.13,0.09
7.5,0.0,0.0,2.8,10.6,39.55,7.4,28.1,35.5,67.49,0.4,100.0,0.0,1.0,0.0,0.0,0.0,0.0,10.6,0.1,0.0,0.0,0.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.01,,0.0,0.0,0.0,3.3,0.0,0.0,1.6,1.5,0.1,0.0,0.0,0.61,0.3,100.0,0.0,1.9,0.0,17.1,0.0,0.4,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,18.1,0.0,0.4,8.0,0.0,0.0,1.7,4.2,2.1,6.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.1,0.1,100.0,0.4,12.6,0.0,0.0,0.7,100.0,26.8,20.5,32.1,52.6,8.0,0.0,0.3,68.8,0.3,0.0,0.0,Burnley,888971,6,G,,198.0,1998-11-07 00:00:00+00:00,Right,Kosovo,,arijanetmuric,Arijanet Murić,7500000.0,England Premier League,23/24,900,10,,-0.01
0.87,2.55,25.74,27.62,1.6,73.33,42.41,9.26,49.12,83.83,0.44,54.55,0.36,1.31,0.73,0.0,0.0,0.0,3.94,1.53,0.07,1.02,0.07,0.29,1.31,0.0,0.0,1.46,0.95,5.1,0.0,0.0,0.52,0.18,0.8,0.0,9.09,0.0,0.29,1.02,0.58,0.51,0.07,0.22,0.07,,2.7,36.27,0.07,0.0,0.0,9.47,0.29,4.3,0.07,1.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.57,1.75,0.0,7.93,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,308.75,0.0,0.44,1.24,1.97,0.95,1.24,0.73,32.26,0.0,1.02,0.66,64.29,4.3,2.26,2.26,9.91,3.13,38.05,2.19,58.3,10.2,58.59,10.4,3.21,0.44,84.1,0.95,0.15,0.0,Manchester City,70996,17,M,68.0,181.0,1991-06-28 00:00:00+00:00,Right,Belgium,2027-06-30 00:00:00+00:00,kevindebruyne,Kevin De Bruyne,25000000.0,England Premier League,23/24,1235,18,0.11,0.21
1.28,0.6,21.35,21.21,1.32,62.69,35.81,11.4,46.61,89.1,0.19,26.09,0.53,1.1,0.25,0.0,0.0,0.0,3.98,0.31,0.22,1.28,0.25,0.5,1.1,0.0,0.0,1.53,0.56,4.48,0.0,0.03,0.22,0.32,0.44,0.06,18.1,0.0,0.6,0.85,0.85,0.75,0.09,0.41,0.19,,4.32,52.27,0.03,0.0,0.03,5.7,0.41,2.29,0.53,1.03,0.16,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,13.06,1.1,0.0,7.79,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,151.21,1.57,0.13,1.85,1.44,0.5,1.5,1.47,50.54,0.0,0.97,0.63,64.52,2.29,2.16,2.91,2.79,4.51,50.17,2.1,42.48,12.62,52.31,8.55,3.29,0.28,72.02,1.88,0.06,0.0,Manchester City,859765,17,M,70.0,171.0,2000-05-28 00:00:00+00:00,Left,England,2027-06-30 00:00:00+00:00,philfoden,Phil Foden,4000000.0,England Premier League,23/24,2873,35,0.28,0.03
4.3,1.5,23.32,19.22,4.39,57.36,31.39,13.88,43.77,79.38,0.61,43.75,0.78,1.01,0.23,0.0,0.0,0.03,5.77,0.61,0.2,0.78,0.2,1.36,1.01,0.0,0.0,1.01,1.67,5.19,0.0,0.06,0.28,0.29,1.18,0.0,10.53,0.0,0.29,0.52,1.5,1.39,0.12,0.23,0.06,,3.32,42.91,0.03,0.0,0.09,11.37,0.78,3.35,0.06,1.01,0.38,0.17,0.0,0.06,0.14,0.0,2.31,0.0,0.12,0.0,0.0,20.05,0.98,0.0,7.75,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,311.9,0.0,0.32,1.13,1.62,0.78,1.18,0.55,47.5,0.0,1.96,1.1,55.88,3.29,7.91,1.15,6.43,3.92,43.04,7.65,45.74,15.84,55.14,7.83,2.74,0.2,77.53,0.81,0.26,0.0,Manchester United,288205,35,M,65.0,179.0,1994-09-08 00:00:00+00:00,Right,Portugal,2027-06-30 00:00:00+00:00,brunofernandes,Bruno Fernandes,15000000.0,England Premier League,23/24,3119,35,0.0,-0.05
1.9,1.76,25.77,15.65,1.76,71.43,26.01,11.42,35.66,83.09,0.49,31.82,1.06,1.34,0.42,0.0,0.0,0.0,4.79,0.63,0.21,1.48,0.07,0.63,1.34,0.0,0.0,2.33,1.13,7.75,0.0,0.0,0.35,0.39,0.92,0.0,17.54,0.0,0.7,1.13,1.34,1.2,0.14,0.56,0.14,,7.19,51.78,0.07,0.0,0.0,7.26,0.78,2.54,0.63,0.99,0.14,0.0,0.0,0.0,0.07,0.0,7.05,0.0,0.07,0.0,0.0,21.07,0.49,0.0,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.7,0.0,0.28,2.4,1.62,1.06,1.48,2.82,54.79,0.0,1.34,0.7,52.63,2.54,2.82,5.14,6.84,7.68,49.77,2.47,36.86,12.9,42.92,10.36,4.02,0.42,75.97,3.03,0.0,0.0,Crystal Palace,978838,7,M,,184.0,2001-12-12 00:00:00+00:00,Left,France,2029-06-30 00:00:00+00:00,michaelolise,Michael Olise,30000000.0,England Premier League,23/24,1277,19,0.31,0.07
1.01,1.38,24.86,19.95,0.83,42.86,28.35,6.38,33.35,82.98,0.74,39.34,1.14,1.07,0.28,0.0,0.0,0.0,4.76,0.46,0.34,1.35,0.09,0.58,1.07,0.0,0.0,1.63,1.01,6.51,0.03,0.0,0.34,0.48,1.26,0.0,14.81,0.0,0.49,0.77,0.83,0.74,0.09,0.46,0.03,,5.62,51.12,0.03,0.0,0.09,6.84,0.46,2.79,0.34,1.07,0.25,0.06,0.0,0.0,0.18,0.0,3.07,0.0,0.18,0.0,0.03,16.48,1.14,0.0,7.72,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,183.31,0.0,0.0,2.45,0.86,0.83,1.14,1.5,47.57,0.0,2.03,1.07,53.03,2.79,1.87,3.16,5.55,6.35,49.4,1.93,37.93,7.82,40.2,8.29,3.31,0.15,65.36,2.12,0.12,0.0,Arsenal,934235,42,F,,178.0,2001-09-05 00:00:00+00:00,Left,England,2030-06-30 00:00:00+00:00,bukayosaka,Bukayo Saka,8000000.0,England Premier League,23/24,2933,35,0.01,-0.06
2.54,0.55,19.75,17.46,2.37,65.71,26.92,10.98,37.35,83.32,0.03,20.0,0.14,1.17,0.38,0.0,0.0,0.0,3.6,0.58,0.24,1.13,0.03,0.38,1.17,0.0,0.0,1.51,0.38,4.39,0.0,0.07,0.3,0.62,0.82,0.0,20.18,0.0,0.75,1.13,1.58,1.41,0.17,0.65,0.1,,3.46,44.89,0.07,0.0,0.03,7.48,0.69,2.47,0.58,0.99,0.21,0.07,0.0,0.0,0.31,0.0,3.43,0.0,0.31,0.0,0.03,15.47,0.89,0.0,7.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,119.27,0.0,0.38,1.78,1.96,1.03,1.58,1.78,53.06,0.0,0.79,0.41,52.17,2.47,4.36,3.36,2.78,3.5,44.35,3.6,34.98,12.62,44.83,8.98,3.74,0.27,64.93,0.89,0.24,0.0,Chelsea,982780,38,M,,185.0,2002-05-06 00:00:00+00:00,Left,England,2033-06-30 00:00:00+00:00,colepalmer,Cole Palmer,40000000.0,England Premier League,23/24,2624,34,0.13,0.08
1.07,0.87,38.96,23.56,1.31,60.81,34.74,14.03,47.91,86.79,0.09,25.0,0.26,1.02,0.29,0.0,0.0,0.0,4.59,0.49,0.12,0.87,0.38,0.15,1.02,0.0,0.0,1.68,1.19,5.11,0.0,0.0,0.32,0.21,0.87,0.0,10.39,0.0,0.23,0.52,0.67,0.55,0.12,0.2,0.03,,3.54,42.21,0.0,0.0,0.0,7.29,0.44,2.96,0.23,1.02,0.09,0.03,0.0,0.0,0.06,0.0,2.91,0.0,0.06,0.0,0.03,13.45,1.19,0.0,7.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.25,0.0,0.12,1.1,1.13,0.7,0.67,1.07,49.33,0.0,1.42,0.49,34.69,2.96,2.56,2.18,2.24,3.63,41.53,2.15,42.5,14.93,55.2,7.8,2.24,0.17,71.55,1.05,0.06,0.0,Arsenal,547410,42,M,66.0,178.0,1998-12-17 00:00:00+00:00,Left,Norway,2028-06-30 00:00:00+00:00,martinodegaard,Martin Ødegaard,2000000.0,England Premier League,23/24,3098,35,0.02,-0.03
1.05,0.96,17.29,22.83,1.8,62.32,36.55,13.63,49.22,87.44,0.13,33.33,0.25,1.17,0.38,0.0,0.0,0.0,2.51,0.46,0.17,0.79,0.04,0.33,1.17,0.0,0.0,1.42,0.59,4.52,0.0,0.04,0.26,0.27,0.88,0.0,6.9,0.0,0.17,0.54,1.3,1.25,0.04,0.13,0.04,,5.81,57.68,0.0,0.0,0.0,7.07,0.54,2.84,0.04,1.09,0.08,0.13,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.52,0.79,0.0,7.59,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0,0.13,1.3,1.13,0.67,0.96,1.34,48.48,0.0,1.38,0.79,57.58,2.8,3.18,2.76,5.56,5.94,56.8,2.89,47.59,14.26,56.29,8.88,2.43,0.17,78.79,3.09,0.21,0.0,Tottenham Hotspur,356398,33,M,73.0,175.0,1996-11-23 00:00:00+00:00,Right,England,2028-06-30 00:00:00+00:00,jamesmaddison,James Maddison,10000000.0,England Premier League,23/24,2152,28,-0.1,0.12
0.99,0.36,24.39,13.42,0.85,64.86,20.06,5.43,25.14,75.72,0.21,30.0,0.5,1.14,0.36,0.0,0.0,0.07,2.98,0.78,0.6,0.85,0.25,0.04,1.14,0.0,0.0,2.09,0.53,5.29,0.0,0.0,0.27,0.75,0.43,0.0,15.79,0.0,0.64,0.99,1.07,0.92,0.14,0.6,0.04,,2.49,34.15,0.07,0.0,0.07,8.06,0.07,2.41,0.5,0.99,0.6,0.04,0.0,0.07,0.25,0.0,2.54,0.0,0.18,0.0,0.04,16.58,0.96,0.0,7.58,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,140.83,0.0,0.04,3.27,0.78,1.21,1.99,0.96,35.53,0.0,0.6,0.39,64.71,2.34,2.66,2.7,1.46,2.7,33.78,1.31,28.44,6.21,33.2,8.61,4.05,0.18,52.12,0.92,0.07,0.0,Liverpool FC,159665,44,M,,175.0,1992-06-15 00:00:00+00:00,Left,Egypt,,mohamedsalah,Mohamed Salah,14000000.0,England Premier League,23/24,2535,32,-0.11,0.09
0.96,1.53,32.71,11.55,1.18,69.23,19.96,10.42,28.85,83.69,0.52,33.33,1.05,1.18,0.17,0.0,0.0,0.0,5.88,0.31,0.22,1.22,0.09,0.17,1.13,0.0,0.0,2.09,0.7,7.67,0.0,0.0,0.24,0.4,1.18,0.04,13.25,0.0,0.48,0.65,1.22,1.18,0.04,0.31,0.17,,6.62,50.0,0.0,0.0,0.0,5.62,0.48,2.35,0.09,1.05,0.48,0.09,0.0,0.0,0.04,0.04,4.36,0.0,0.04,0.0,0.04,17.65,1.39,0.0,7.58,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,187.73,0.36,0.52,1.87,1.74,0.92,1.48,3.01,51.88,0.0,1.53,0.74,48.57,2.35,1.96,5.8,4.66,7.15,48.24,1.7,27.72,11.42,34.47,8.59,3.62,0.22,62.85,2.09,0.13,0.0,Crystal Palace,864921,7,M,67.0,178.0,1998-06-29 00:00:00+00:00,Right,England,2029-06-30 00:00:00+00:00,eberechieze,Eberechi Eze,65000000.0,England Premier League,23/24,2065,27,0.08,-0.07
3.15,2.57,37.39,20.75,2.83,56.98,41.13,37.72,76.27,90.16,0.4,45.16,0.49,1.04,0.29,0.0,0.0,0.0,4.16,0.32,0.26,0.58,0.17,0.78,1.04,0.0,0.0,0.81,1.18,3.5,0.03,0.06,0.27,0.18,0.66,0.0,7.27,0.0,0.12,0.4,1.45,1.3,0.14,0.09,0.03,,3.27,52.07,0.0,0.0,0.03,8.32,0.64,3.01,0.03,0.98,0.09,0.23,0.0,0.03,0.03,0.03,2.89,0.0,0.03,0.0,0.0,15.2,0.64,0.0,7.55,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,778.5,0.0,0.12,0.72,0.87,0.43,0.58,0.46,55.17,0.0,2.02,1.33,65.71,2.98,5.58,0.84,6.88,3.67,51.21,4.97,51.85,39.62,84.6,7.86,1.59,0.29,104.91,0.78,0.2,0.0,Brighton & Hove Albion,48480,30,M,,181.0,1991-06-15 00:00:00+00:00,Right,Germany,2027-06-30 00:00:00+00:00,pascalgross,Pascal Groß,45000000.0,England Premier League,23/24,3114,36,-0.06,0.02
0.52,0.15,13.89,13.59,0.34,68.75,18.91,7.88,26.64,85.07,0.15,23.81,0.49,1.07,0.31,0.0,0.0,0.0,2.44,0.61,0.21,0.67,0.09,0.12,1.07,0.0,0.0,1.25,0.34,3.85,0.0,0.0,0.25,0.37,0.37,0.0,20.0,0.0,0.52,0.82,1.56,1.47,0.09,0.49,0.03,,3.02,47.37,0.0,0.0,0.12,4.67,0.24,2.11,0.12,1.04,0.61,0.03,0.03,0.03,0.06,0.03,3.05,0.0,0.06,0.0,0.03,10.2,1.01,0.0,7.55,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,173.29,0.0,0.0,2.02,0.58,0.7,1.22,1.19,45.35,0.0,0.64,0.4,61.9,2.08,0.7,2.63,1.1,3.18,45.22,0.49,23.95,8.46,31.31,8.07,2.6,0.18,44.94,1.19,0.03,0.0,Tottenham Hotspur,111505,33,F,,184.0,1992-07-08 00:00:00+00:00,Both,South Korea,2027-12-31 00:00:00+00:00,heungminson,Heung-min Son,45000000.0,England Premier League,23/24,2946,35,0.15,0.06
2.41,0.59,20.48,24.51,2.06,63.44,39.54,17.92,56.87,89.42,0.07,18.18,0.31,1.15,0.31,0.0,0.0,0.0,3.56,0.45,0.1,0.28,0.31,0.42,1.12,0.0,0.0,1.19,1.12,4.11,0.0,0.03,0.28,0.13,0.77,0.0,17.65,0.0,0.21,0.52,0.91,0.77,0.14,0.17,0.03,,4.01,51.34,0.0,0.0,0.03,6.73,0.59,2.23,0.17,1.01,0.1,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.94,1.05,0.0,7.53,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,430.17,0.0,0.0,0.91,0.28,0.38,0.52,1.33,64.41,0.0,1.78,0.8,45.1,2.23,3.94,2.06,2.89,4.08,49.79,3.24,47.39,19.11,63.6,8.4,1.19,0.14,80.34,0.91,0.28,0.0,Manchester City,331209,17,M,,173.0,1994-08-10 00:00:00+00:00,Left,Portugal,2028-06-30 00:00:00+00:00,bernardosilva,Bernardo Silva,10000000.0,England Premier League,23/24,2581,33,0.08,0.03
3.64,0.33,37.5,15.53,3.55,59.17,28.45,24.87,52.99,84.98,0.5,42.86,0.66,1.02,0.22,0.0,0.0,0.0,6.53,0.33,0.06,0.44,0.19,0.52,1.02,0.0,0.0,1.93,1.02,6.0,0.0,0.0,0.17,0.13,1.38,0.0,14.58,0.03,0.19,0.41,1.65,1.4,0.25,0.17,0.03,,7.38,58.01,0.03,0.0,0.03,9.36,0.96,1.71,0.03,1.02,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.15,0.85,0.0,7.49,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,466.86,0.0,0.0,0.72,0.61,0.44,0.44,1.98,63.72,0.0,2.42,1.46,60.23,1.71,6.55,3.11,0.88,7.88,56.75,6.0,36.44,26.8,62.35,7.64,1.32,0.14,82.56,2.97,0.25,0.0,Newcastle United,866469,39,M,,182.0,1997-11-16 00:00:00+00:00,Right,Brazil,2028-06-30 00:00:00+00:00,brunoguimaraes,Bruno Guimarães,70000000.0,England Premier League,23/24,3268,37,0.06,0.05
2.13,2.98,30.43,15.97,2.5,48.96,34.01,27.04,58.07,87.7,0.75,51.85,0.69,1.22,0.11,0.0,0.0,0.0,5.54,0.53,0.0,0.16,0.11,1.81,1.22,0.0,0.0,0.32,0.9,2.93,0.0,0.0,0.23,0.1,0.48,0.0,25.0,0.0,0.16,0.27,1.17,1.06,0.11,0.16,0.0,,2.4,51.72,0.0,0.0,0.0,8.14,0.69,3.46,0.11,0.96,0.16,0.32,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.83,0.16,0.0,7.43,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,563.67,0.0,0.0,0.53,0.11,0.11,0.37,0.27,29.41,0.0,1.86,1.28,68.57,3.3,4.15,0.9,9.79,3.14,51.75,5.11,46.46,29.54,66.21,9.1,0.64,0.05,92.82,0.27,0.11,0.0,Liverpool FC,262911,44,D,64.0,178.0,1994-03-11 00:00:00+00:00,Left,Scotland,,andrewrobertson,Andrew Robertson,35000000.0,England Premier League,23/24,1691,23,0.06,-0.12
