player id,Name,Team,league,season,position,kmeans_cluster_raw,cluster_label
888971,Arijanet Murić,Burnley,England Premier League,23/24,G,1,G_low_signal
96531,Alphonse Areola,West Ham United,England Premier League,23/24,G,3,G_3
787498,André Onana,Manchester United,England Premier League,23/24,G,3,G_3
138530,Jordan Pickford,Everton,England Premier League,23/24,G,0,G_0
42209,Martin Dúbravka,Newcastle United,England Premier League,23/24,G,3,G_3
994363,Bart Verbruggen,Brighton & Hove Albion,England Premier League,23/24,G,2,G_2
252669,José Sá,Wolverhampton,England Premier League,23/24,G,3,G_3
920546,Robert Sánchez,Chelsea,England Premier League,23/24,G,2,G_2
84844,Neto,Bournemouth,England Premier League,23/24,G,0,G_0
158263,Emiliano Martínez,Aston Villa,England Premier League,23/24,G,2,G_2
103335,Bernd Leno,Fulham,England Premier League,23/24,G,2,G_2
171919,Mark Flekken,Brentford,England Premier League,23/24,G,1,G_low_signal
553606,Guglielmo Vicario,Tottenham Hotspur,England Premier League,23/24,G,2,G_2
243609,Alisson,Liverpool FC,England Premier League,23/24,G,2,G_2
254491,Ederson,Manchester City,England Premier League,23/24,G,2,G_2
162653,Nick Pope,Newcastle United,England Premier League,23/24,G,4,G_low_signal
980643,James Trafford,Burnley,England Premier League,23/24,G,3,G_3
187861,Wes Foderingham,Sheffield United,England Premier League,23/24,G,3,G_3
833943,Matt Turner,Nottingham Forest,England Premier League,23/24,G,0,G_0
827362,Caoimhín Kelleher,Liverpool FC,England Premier League,23/24,G,2,G_2
882604,Djordje Petrovic,Chelsea,England Premier League,23/24,G,2,G_2
45959,Thomas Kaminski,Luton Town,England Premier League,23/24,G,0,G_0
581310,David Raya,Arsenal,England Premier League,23/24,G,2,G_2
788134,Dean Henderson,Crystal Palace,England Premier League,23/24,G,0,G_0
98427,Sam Johnstone,Crystal Palace,England Premier League,23/24,G,0,G_0
31867,Jason Steele,Brighton & Hove Albion,England Premier League,23/24,G,2,G_2
78152,Matz Sels,Nottingham Forest,England Premier League,23/24,G,0,G_0
171919,Mark Flekken,Brentford,England Premier League,24/25,G,1,G_low_signal
138530,Jordan Pickford,Everton,England Premier League,24/25,G,1,G_low_signal
232422,Kepa Arrizabalaga,Bournemouth,England Premier League,24/25,G,4,G_low_signal
78152,Matz Sels,Nottingham Forest,England Premier League,24/25,G,0,G_0
839410,Aaron Ramsdale,Southampton,England Premier League,24/25,G,0,G_0
42209,Martin Dúbravka,Newcastle United,England Premier League,24/25,G,2,G_2
162653,Nick Pope,Newcastle United,England Premier League,24/25,G,0,G_0
888971,Arijanet Murić,Ipswich Town,England Premier League,24/25,G,3,G_3
243609,Alisson,Liverpool FC,England Premier League,24/25,G,2,G_2
15479,Lukasz Fabianski,West Ham United,England Premier League,24/25,G,3,G_3
553606,Guglielmo Vicario,Tottenham Hotspur,England Premier League,24/25,G,2,G_2
158263,Emiliano Martínez,Aston Villa,England Premier League,24/25,G,2,G_2
796143,Alex Palmer,Ipswich Town,England Premier League,24/25,G,0,G_0
254491,Ederson,Manchester City,England Premier League,24/25,G,1,G_low_signal
581310,David Raya,Arsenal,England Premier League,24/25,G,2,G_2
920546,Robert Sánchez,Chelsea,England Premier League,24/25,G,2,G_2
103335,Bernd Leno,Fulham,England Premier League,24/25,G,2,G_2
856640,Mads Hermansen,Leicester City,England Premier League,24/25,G,0,G_0
787498,André Onana,Manchester United,England Premier League,24/25,G,2,G_2
788134,Dean Henderson,Crystal Palace,England Premier League,24/25,G,4,G_low_signal
827362,Caoimhín Kelleher,Liverpool FC,England Premier League,24/25,G,2,G_2
997830,Jakub Stolarczyk,Leicester City,England Premier League,24/25,G,0,G_0
125274,Stefan Ortega,Manchester City,England Premier League,24/25,G,2,G_2
994363,Bart Verbruggen,Brighton & Hove Albion,England Premier League,24/25,G,2,G_2
96531,Alphonse Areola,West Ham United,England Premier League,24/25,G,0,G_0
252669,José Sá,Wolverhampton,England Premier League,24/25,G,3,G_3
827362,Caoimhín Kelleher,Brentford,England Premier League,25/26,G,3,G_3
994363,Bart Verbruggen,Brighton & Hove Albion,England Premier League,25/26,G,2,G_2
123689,Karl Darlow,Leeds United,England Premier League,25/26,G,0,G_0
824509,Gianluigi Donnarumma,Manchester City,England Premier League,25/26,G,2,G_2
964753,Senne Lammens,Manchester United,England Premier League,25/26,G,0,G_0
138530,Jordan Pickford,Everton,England Premier League,25/26,G,0,G_0
42209,Martin Dúbravka,Burnley,England Premier League,25/26,G,0,G_0
1012928,Robin Roefs,Sunderland,England Premier League,25/26,G,0,G_0
158263,Emiliano Martínez,Aston Villa,England Premier League,25/26,G,1,G_low_signal
788134,Dean Henderson,Crystal Palace,England Premier League,25/26,G,0,G_0
103335,Bernd Leno,Fulham,England Premier League,25/26,G,2,G_2
920546,Robert Sánchez,Chelsea,England Premier League,25/26,G,1,G_low_signal
581310,David Raya,Arsenal,England Premier League,25/26,G,2,G_2
162653,Nick Pope,Newcastle United,England Premier League,25/26,G,4,G_low_signal
98427,Sam Johnstone,Wolverhampton,England Premier League,25/26,G,0,G_0
882604,Djordje Petrovic,Bournemouth,England Premier League,25/26,G,0,G_0
553606,Guglielmo Vicario,Tottenham Hotspur,England Premier League,25/26,G,0,G_0
252669,José Sá,Wolverhampton,England Premier League,25/26,G,0,G_0
243609,Alisson,Liverpool FC,England Premier League,25/26,G,2,G_2
96531,Alphonse Areola,West Ham United,England Premier League,25/26,G,0,G_0
78152,Matz Sels,Nottingham Forest,England Premier League,25/26,G,0,G_0
856640,Mads Hermansen,West Ham United,England Premier League,25/26,G,1,G_low_signal
839410,Aaron Ramsdale,Newcastle United,England Premier League,25/26,G,0,G_0
871290,Lucas Perri,Leeds United,England Premier League,25/26,G,0,G_0
849114,Radoslaw Majecki,AS Monaco,France Ligue 1,23/24,G,2,G_2
580226,Mory Diaw,Clermont Foot,France Ligue 1,23/24,G,3,G_3
824509,Gianluigi Donnarumma,Paris Saint-Germain,France Ligue 1,23/24,G,2,G_2
48535,Anthony Lopes,Olympique Lyonnais,France Ligue 1,23/24,G,0,G_0
